DOID,Old,New
 DOID:5438,"['def: ""A bile duct ademona and neoplasm of extrahepatic bile duct that are composed_of papillary, tubular, or combined tubulopapillary structures lined by dysplastic epithelium."" [url:http\\://www.joplink.net/prev/200803/08.html]']","['def: ""A bile duct ademona that is composed_of papillary, tubular, or combined tubulopapillary structures lined by dysplastic epithelium."" [url:http\\://www.joplink.net/prev/200803/08.html]']"
 DOID:14490,['name: metastasis to the ureter'],['name: obsolete metastasis to the ureter']
 DOID:3277,['is_a: DOID:0060083 ! immune system cancer'],['is_a: DOID:0060073 ! lymphatic system cancer']
 DOID:12723,['name: lung carcinoma metastatic to the liver'],['name: obsolete lung carcinoma metastatic to the liver']
 DOID:0080227,['is_a: DOID:0060307 ! autosomal dominant non-syndromic intellectual disability'],"['is_a: DOID:0050736 ! autosomal dominant disease', 'def: ""A syndromic intellectual disability characterized by onset of myoclonic seizures in the first years of life, global developmental delay, intellectual disability, speech delay and ataxic gait that has_material_basis_in heterozygous mutation in the NUS1 gene on chromosome 6q22."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/29100083]', 'is_a: DOID:0050888 ! syndromic intellectual disability']"
 DOID:9971, ,"['def: ""An overnutrition that is characterized by elevated vitamin D, which can subsequently cause high levels of calcium, has_symptom myalgia, fatigue, irritability, nausea, dehydration, polyuria, and nephrocalcinosis, and possibly has_material_basis_in excess intake of vitamin D."" [url:https\\://www.ncbi.nlm.nih.gov/pmc/articles/PMC3191699/]']"
 DOID:920,['name: childhood liver neoplasm'],['name: obsolete childhood liver neoplasm']
 DOID:398,['name: cutaneous tuberculosis'],['name: obsolete cutaneous tuberculosis']
 DOID:2077,['name: vulvar congenital melanocytic nevus'],['name: obsolete vulvar congenital melanocytic nevus']
 DOID:10659,['name: colonic ganglioneuroma'],['name: obsolete colonic ganglioneuroma']
 DOID:641,['name: CNS demyelinating autoimmune disease'],['name: obsolete CNS demyelinating autoimmune disease']
 DOID:0060006,['name: artemis deficiency'],['name: obsolete artemis deficiency']
 DOID:1183,['name: nephrotic syndrome with lesion of membranoproliferative glomerulonephritis'],['name: obsolete nephrotic syndrome with lesion of membranoproliferative glomerulonephritis']
 DOID:3532,['name: peste des petits ruminants infectious disease'],['name: obsolete peste des petits ruminants infectious disease']
 DOID:8716,['name: lymphosarcoma and reticulosarcoma'],['name: obsolete lymphosarcoma and reticulosarcoma']
 DOID:5398,"['synonym: ""Lipoadenoma"" EXACT [SNOMEDCT_2005_07_31:22024005]', 'is_a: DOID:0060123 ! connective tissue benign neoplasm', 'def: ""An adenoma that is composed_of adipose tissue."" [url:http\\://en.wiktionary.org/wiki/lipoadenoma]', 'is_a: DOID:3315 ! lipoma']","['def: ""An adenoma that is composed_of epithelial cells admixed with adipose tissue cells."" [url:http\\://en.wiktionary.org/wiki/lipoadenoma, url:https\\://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C4159]']"
 DOID:0050496,['name: Banna virus encephalitis'],['name: obsolete Banna virus encephalitis']
 DOID:11946,['name: habitual abortion'],['name: obsolete habitual abortion']
 DOID:4983,"[""name: metastatic Ewing's sarcoma/peripheral primitive neuroectodermal tumor""]","[""name: obsolete metastatic Ewing's sarcoma/peripheral primitive neuroectodermal tumor""]"
 DOID:9202,['name: disorder of optic chiasm associated with pituitary neoplasm and disorder'],['name: obsolete disorder of optic chiasm associated with pituitary neoplasm and disorder']
 DOID:10489,['name: transient disorder of initiating or maintaining wakefulness'],['name: obsolete transient disorder of initiating or maintaining wakefulness']
 DOID:306,['name: dyskinetic syndrome'],['name: obsolete dyskinetic syndrome']
 DOID:2775,"['synonym: ""adamantinoma of long bone"" RELATED []', 'synonym: ""adamantinoma of long bones"" EXACT []', 'synonym: ""adamantinoma of long bone"" EXACT []']", 
 DOID:0060292, ,"['def: ""A chondrodysplasia punctata that is characterized by maxillary hypoplasia, stippled chondrodystrophy, flat nasal tip and short columella, has_material_basis_in X-linked recessive inheritance, has_material_basis_in deficiency of arylsulfatase E. and is associated with associated with vitamin K-related teratogenicity."" [url:https\\://en.wikipedia.org/wiki/X-linked_recessive_chondrodysplasia_punctata]']"
 DOID:0050327,['name: peripheral dysostosis'],['name: obsolete peripheral dysostosis']
 DOID:5641, ,"['def: ""A pulmonary fibrosis that is characterized by diffuse destruction, scarring, and thickening of the lung parenchyma in a usual interstitial pneumonia pattern, eventually causing architectural distortion and honeycombing, has_symptom progressive shortness of breath, fatigue, and chronic cough, possibly has_material_basis_in exposure to certain chemicals, autoimmune conditions, and radiation."" [url:https\\://www.sciencedirect.com/science/article/pii/S0954611106004331]']"
 DOID:425,['name: certain conditions originating in the perinatal period'],['name: obsolete certain conditions originating in the perinatal period']
 DOID:6506,['name: anaplastic seminoma'],['name: obsolete anaplastic seminoma']
 DOID:4224,['name: adult soft tissue sarcoma'],['name: obsolete adult soft tissue sarcoma']
 DOID:0050102,['name: Microsporum gypseum tinea capitis'],['name: obsolete Microsporum gypseum tinea capitis']
 DOID:8521,['name: recurrent manic episodes'],['name: obsolete recurrent manic episodes']
 DOID:702,['name: tooth abnormality'],['name: obsolete tooth abnormality']
 DOID:6301,['name: prostate basal cell carcinoma'],['name: obsolete prostate basal cell carcinoma']
 DOID:0050556,['name: infantile onset spinocerebellar ataxia'],['name: obsolete infantile onset spinocerebellar ataxia']
 DOID:4808,['name: Enterovirus infectious disease'],['name: obsolete Enterovirus infectious disease']
 DOID:1097,['name: hydrops fetalis'],['name: obsolete hydrops fetalis']
 DOID:13602,['name: acute schizophrenic episode subchronic state'],['name: obsolete acute schizophrenic episode subchronic state']
 DOID:4403,['name: cervical glandular tumor'],['name: obsolete cervical glandular tumor']
 DOID:1990,['name: metastasis to the rectum'],['name: obsolete metastasis to the rectum']
 DOID:8382,['name: recurrent endometrial cancer'],['name: obsolete recurrent endometrial cancer']
 DOID:1511,['name: residual schizophrenia chronic state with acute exacerbation'],['name: obsolete residual schizophrenia chronic state with acute exacerbation']
 DOID:0050223,['name: candidal gastritis'],['name: obsolete candidal gastritis']
 DOID:894,['name: nervous system heredodegenerative disease'],['name: obsolete nervous system heredodegenerative disease']
 DOID:7070,['name: recurrent pediatric rhabdomyosarcoma'],['name: obsolete recurrent pediatric rhabdomyosarcoma']
 DOID:10263,['name: Mumps virus hepatitis'],['name: obsolete Mumps virus hepatitis']
 DOID:11873,['name: staphylococcal septicemia'],['name: obsolete staphylococcal septicemia']
 DOID:11275,['name: muscle syphilis'],['name: obsolete muscle syphilis']
 DOID:7357,['name: rectal anaplastic carcinoma'],['name: obsolete rectal anaplastic carcinoma']
 DOID:4884,['name: peritoneal neoplasm'],['name: obsolete peritoneal neoplasm']
 DOID:7295,['name: recurrent childhood soft tissue sarcoma'],['name: obsolete recurrent childhood soft tissue sarcoma']
 DOID:10980,['name: poliovirus type II nonparalytic poliomyelitis'],['name: obsolete poliovirus type II nonparalytic poliomyelitis']
 DOID:2937,['name: Human herpesvirus 8 infectious disease'],['name: obsolete Human herpesvirus 8 infectious disease']
 DOID:6563,['name: metastatic testicular cancer'],['name: obsolete metastatic testicular cancer']
 DOID:7526,['name: metastatic neoplasm to the ciliary body'],['name: obsolete metastatic neoplasm to the ciliary body']
 DOID:0050317,['name: commensal Streptococcaceae infectious disease'],['name: obsolete commensal Streptococcaceae infectious disease']
 DOID:5497,['name: Hepadnaviridae infectious disease'],['name: obsolete Hepadnaviridae infectious disease']
 DOID:611,['name: leukocyte-adhesion deficiency syndrome'],['name: obsolete leukocyte-adhesion deficiency syndrome']
 DOID:3091,['name: Acinetobacter infectious disease'],['name: obsolete Acinetobacter infectious disease']
 DOID:0050271,['name: cutaneous ascomycota mycosis'],['name: obsolete cutaneous ascomycota mycosis']
 DOID:11459,['is_a: DOID:6713 ! cerebrovascular disease'], 
 DOID:9214,['name: Herpes simplex virus iridocyclitis'],['name: obsolete Herpes simplex virus iridocyclitis']
 DOID:11872,['name: Staphylococcus aureus septicemia'],['name: obsolete Staphylococcus aureus septicemia']
 DOID:9241,['name: reticulosarcoma involving lymph nodes of axilla and upper limb'],['name: obsolete reticulosarcoma involving lymph nodes of axilla and upper limb']
 DOID:14434,['name: enterotoxigenic Escherichia coli infectious disease'],['name: obsolete enterotoxigenic Escherichia coli infectious disease']
 DOID:10239,"['name: malignant neoplasm of pelvic bones, sacrum and coccyx']","['name: obsolete malignant neoplasm of pelvic bones, sacrum and coccyx']"
 DOID:0080017,['name: olivopontocerebellar atrophy V'],['name: obsolete olivopontocerebellar atrophy V']
 DOID:9109,['name: mycosis fungoides involving intra-abdominal lymph nodes'],['name: obsolete mycosis fungoides involving intra-abdominal lymph nodes']
 DOID:3077,['name: anaplastic childhood astrocytoma'],['name: obsolete anaplastic childhood astrocytoma']
 DOID:0050927,"['is_a: DOID:657 ! adenoma', 'is_a: DOID:4072 ! duodenal disease']",['is_a: DOID:4072 ! duodenum disease']
 DOID:0050992, ,"['def: ""An episodic ataxia that is characterized by vertigo and diplopia."" [url:https\\://www.omim.org/entry/606552]']"
 DOID:13040,['name: syphilitic optic atrophy'],['name: obsolete syphilitic optic atrophy']
 DOID:7344,['name: anaplastic brainstem astrocytoma'],['name: obsolete anaplastic brainstem astrocytoma']
 DOID:8868,['name: Mycosis fungoides involving lymph nodes of multiple sites'],['name: obsolete Mycosis fungoides involving lymph nodes of multiple sites']
 DOID:2791,['name: hookworm infectious disease'],['name: obsolete hookworm infectious disease']
 DOID:12030, ,"['def: ""An uveitis that is characterized by inflammation of all layers of the uvea (middle layer) of the eye, which includes the iris, ciliary body, and choroid."" [url:https\\://rarediseases.info.nih.gov/diseases/8577/panuveitis]']"
 DOID:12840,['name: Ancylostoma ceylanicum ancylostomiasis'],['name: obsolete Ancylostoma ceylanicum ancylostomiasis']
 DOID:0080355,"['def: ""A gastrointestinal system cancer that is located_in the hepatobiliary system"" [url:https\\://www.ncbi.nlm.nih.gov/pmc/articles/PMC4461147/]']","['def: ""A gastrointestinal system cancer that is located_in the hepatobiliary system."" [url:https\\://www.ncbi.nlm.nih.gov/pmc/articles/PMC4461147/]']"
 DOID:0050329,['name: mental disorder'],['name: obsolete mental disorder']
 DOID:12541,['name: catatonic type schizophrenia subchronic state'],['name: obsolete catatonic type schizophrenia subchronic state']
 DOID:6488,['name: metastatic tumor to the iris'],['name: obsolete metastatic tumor to the iris']
 DOID:4393,['name: Henipavirus infectious disease'],['name: obsolete Henipavirus infectious disease']
 DOID:434,['name: anterior mediastinum cancer'],['name: obsolete anterior mediastinum cancer']
 DOID:0050622, ,['is_a: DOID:15 ! reproductive system disease']
 DOID:12226,['name: hearing disease'],['name: obsolete hearing disease']
 DOID:9535,['name: Arenavirus hemorrhagic fever'],['name: obsolete Arenavirus hemorrhagic fever']
 DOID:0060064, ,"['def: ""A sideoblastic anemia that is characterized by microcytic hypochromic anemia and ealy-onset, slowly progressive spinocerebellar ataxia, and has_material_basis_in X-linked inheritance of mutation in the ABCB7 gene that encodes a transporter protein that plays a role in heme production in the bone marrow and cerebellum."" [url:https\\://rarediseases.info.nih.gov/diseases/668/anemia-sideroblastic-and-spinocerebellar-ataxia]']"
 DOID:0050227,['name: Vibrio cholerae O139 cholera'],['name: obsolete Vibrio cholerae O139 cholera']
 DOID:2990,['name: tumor of specialized prostatic stroma'],['name: obsolete tumor of specialized prostatic stroma']
 DOID:0080140,['is_a: DOID:225 ! syndrome'],"['def: ""A multiple congenital anomalies-hypotonia-seizures syndrome that is characterized by neonatal hypotonia, lack of psychomotor development, seizures, dysmorphic features, and variable congenital anomalies involving the cardiac, urinary, and gastrointestinal systems and that has_material_basis_in homozygous or compound heterozygous mutation in the PIGT gene on chromosome 20q13."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/21493957]', 'is_a: DOID:0050737 ! autosomal recessive disease', 'is_a: DOID:0080503 ! multiple congenital anomalies-hypotonia-seizures syndrome']"
 DOID:12604,['name: secondary malignant neoplasm of suprarenal gland'],['name: obsolete secondary malignant neoplasm of suprarenal gland']
 DOID:0070001,['name: neoplastic disease'],['name: obsolete neoplastic disease']
 DOID:13679,['name: simple type schizophrenia subchronic state'],['name: obsolete simple type schizophrenia subchronic state']
 DOID:6184,['name: squamous cell carcinoma of unknown primary'],['name: obsolete squamous cell carcinoma of unknown primary']
 DOID:373,['name: infant nutrition disorder'],['name: obsolete infant nutrition disorder']
 DOID:0060561,['name: DMD-related dilated cardiomyopathy'],['name: obsolete DMD-related dilated cardiomyopathy']
 DOID:14477,['name: Cytomegalovirus pneumonia'],['name: obsolete Cytomegalovirus pneumonia']
 DOID:0050368,['name: commensal Fusobacteriaceae infectious disease'],['name: obsolete commensal Fusobacteriaceae infectious disease']
 DOID:9227,"[""name: Hodgkin's lymphoma, mixed cellularity, involving lymph nodes of head, face, and neck""]","[""name: obsolete Hodgkin's lymphoma, mixed cellularity, involving lymph nodes of head, face, and neck""]"
 DOID:12864,['name: acrosyringeal nevus'],['name: obsolete acrosyringeal nevus']
 DOID:8916,['name: mycosis fungoides involving lymph nodes of axilla and upper limb'],['name: obsolete mycosis fungoides involving lymph nodes of axilla and upper limb']
 DOID:0050455,['name: arachnodactyly'],['name: obsolete arachnodactyly']
 DOID:14520,['name: adenovirus gastroenteritis'],['name: obsolete adenovirus gastroenteritis']
 DOID:3758,['name: Fusobacterium infectious disease'],['name: obsolete Fusobacterium infectious disease']
 DOID:9405,['name: pituitary dwarfism'],['name: obsolete pituitary dwarfism']
 DOID:0050800, ,"['def: ""A cerebral creatine deficiency syndrome that is characterized by mental retardation, severe speech delay, behavioral abnormalities and seizures, has_material_basis_in mutation in the SLC6A8 gene on chromosome Xq28."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/17603797, url:https\\://www.omim.org/entry/300352]']"
 DOID:7162,['name: recurrent larynx cancer'],['name: obsolete recurrent larynx cancer']
 DOID:11099,['name: primary Rickettsiaceae infectious disease'],['name: obsolete primary Rickettsiaceae infectious disease']
 DOID:2770,['name: diaper rash'],['name: obsolete diaper rash']
 DOID:9054,['name: lymphosarcoma involving intrathoracic lymph nodes'],['name: obsolete lymphosarcoma involving intrathoracic lymph nodes']
 DOID:2778,"['name: tumors of body of uterus, with delivery']","['name: obsolete tumors of body of uterus, with delivery']"
 DOID:0050966,['name: spinocerebellar ataxia type 16'],"['def: ""An autosomal recessive cerebellar ataxia that is characterized by truncal and limb ataxia, dysarthria, nystagmus, peripheral neuropathy and limb spasticity, has_material_basis_in mutation in the STUB1 gene."" [url:https\\://www.omim.org/entry/615768]', 'name: obsolete spinocerebellar ataxia type 16']"
 DOID:4446,['name: central nervous system cyst'],['name: obsolete central nervous system cyst']
 DOID:524,['name: central nervous system AIDS arteritis'],['name: obsolete central nervous system AIDS arteritis']
 DOID:10925,['name: catatonic schizophrenia'],['name: obsolete catatonic schizophrenia']
 DOID:12292,['name: recurrent malignant endocervical neoplasm'],['name: obsolete recurrent malignant endocervical neoplasm']
 DOID:0060069,['name: Bacillus cereus pneumonia'],['name: obsolete Bacillus cereus pneumonia']
 DOID:13844,['name: suppressed lactation - delivered'],['name: obsolete suppressed lactation - delivered']
 DOID:13969,['name: schizo-affective type schizophrenia subchronic state with acute exacerbation'],['name: obsolete schizo-affective type schizophrenia subchronic state with acute exacerbation']
 DOID:5384,"['is_a: DOID:0060084 ! cell type benign neoplasm', 'def: ""A cystadenoma that is located_in the bile duct."" [url:https\\://www.ncbi.nlm.nih.gov/pmc/articles/PMC4106371/]']","['def: ""A biliary tract benign neoplasm that is located_in the bile duct and derives_from epithelial cells."" [url:https\\://www.ncbi.nlm.nih.gov/pmc/articles/PMC4106371/]']"
 DOID:10013,['name: polyglandular activity in multiple endocrine adenomatosis'],['name: obsolete polyglandular activity in multiple endocrine adenomatosis']
 DOID:14263,['name: fits in newborn'],['name: obsolete fits in newborn']
 DOID:674,"['synonym: ""cleft velum"" EXACT []', 'synonym: ""Uranostaphyloschisis"" EXACT [SNOMEDCT_2005_07_31:63567004]']", 
 DOID:2271,['name: oropharyngeal candidiasis'],['name: obsolete oropharyngeal candidiasis']
 DOID:13470,['name: primary anal syphilis'],['name: obsolete primary anal syphilis']
 DOID:10508,['name: Bacillus anthracis pneumonia'],['name: obsolete Bacillus anthracis pneumonia']
 DOID:13275,['name: rickettsial pneumonia'],['name: obsolete rickettsial pneumonia']
 DOID:0050979, ,"['def: ""An autosomal dominant cerebellar ataxia that is characterized by slowly progressive gait abnormalities and dysarthria, has_material_basis_in mutation in the ODZ3 gene."" [url:https\\://www.omim.org/entry/613371]']"
 DOID:10612, ,"['def: ""An urticaria that is characterized by erythematous papules and plaques, has_symptom pruritis, and has_material_basis_in allergic reaction."" [url:https\\://www.aafp.org/afp/2017/0601/p717.html]']"
 DOID:2085,['name: vulvar blue nevus'],['name: obsolete vulvar blue nevus']
 DOID:7593,['name: recurrent pediatric medulloblastoma'],['name: obsolete recurrent pediatric medulloblastoma']
 DOID:0050320,['name: commensal Alcaligenaceae infectious disease'],['name: obsolete commensal Alcaligenaceae infectious disease']
 DOID:11893,['name: cutaneous amebiasis'],['name: obsolete cutaneous amebiasis']
 DOID:9855,['name: syphilitic interstitial keratitis'],['name: obsolete syphilitic interstitial keratitis']
 DOID:0050756,['name: CLN3 disease'],['name: obsolete CLN3 disease']
 DOID:0050680, ,"['def: ""An osteochondrodysplasia that is characterized by severe dwarfism, dislocated joints, club feet, distinctive facies and dysplastic tubular bones with boomerang-like bowing, has_material_basis_in heterozygous mutation in the FLNB gene on chromosome 3p14."" [url:https\\://rarediseases.info.nih.gov/diseases/933/boomerang-dysplasia]']"
 DOID:0060088,"['def: ""A female reproductive organ benign neoplasm that is located_in the vestibular gland."" [url:https\\://link.springer.com/chapter/10.1007/978-3-642-74828-8_4]']","['def: ""A female reproductive organ benign neoplasm that is located_in the vestibular gland."" [url:https\\://en.wikipedia.org/wiki/Bartholin%27s_gland, url:https\\://link.springer.com/chapter/10.1007/978-3-642-74828-8_4]']"
 DOID:0050337,['name: Burkholderia cepacia infectious disease'],['name: obsolete Burkholderia cepacia infectious disease']
 DOID:0050970, ,"['def: ""An autosomal dominant cerebellar ataxia that is characterized by mild cerebellar ataxia, cognitive impairment, myoclonus and tremor."" [url:https\\://rarediseases.info.nih.gov/diseases/12365/spinocerebellar-ataxia-19-and-22]']"
 DOID:11535,['name: dysplasia of prostate'],['name: obsolete dysplasia of prostate']
 DOID:11861,['name: prolonged pregnancy'],['name: obsolete prolonged pregnancy']
 DOID:1806,['name: coxsackie endocarditis'],['name: obsolete coxsackie endocarditis']
 DOID:0050703,"['def: ""An electroclinical syndrome with onset in infancy occurring between birth and one year of age."" [JA:Epilepsy Genetics Kiel, url:https\\://www.ncbi.nlm.nih.gov/pubmed/20196795]']","['def: ""An electroclinical syndrome with onset in infancy occurring between birth and one year of age."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/20196795]', 'comment: JA:Epilepsy Genetics Kiel']"
 DOID:12204,['name: catatonic schizophrenia in remission'],['name: obsolete catatonic schizophrenia in remission']
 DOID:4935,['name: acidophil carcinoma'],['name: obsolete acidophil carcinoma']
 DOID:0050566,"['xref: OMIM:300066', 'xref: OMIM:300030', 'xref: OMIM:304400', 'is_a: DOID:0080012 ! X-linked recessive disease', 'xref: OMIM:300614', 'xref: OMIM:300914', 'is_a: DOID:0080009 ! X-linked dominant disease', 'xref: OMIM:PS304500']",['is_a: DOID:0050735 ! X-linked monogenic disease']
 DOID:14727,['name: dominant cogenital severe sensorineural deafness'],['name: obsolete dominant cogenital severe sensorineural deafness']
 DOID:10304,['name: Mumps virus infectious disease'],['name: obsolete Mumps virus infectious disease']
 DOID:0050086,['name: cutaneous mucormycosis'],['name: obsolete cutaneous mucormycosis']
 DOID:10595,"['synonym: ""Charcot Marie Tooth muscular atrophy"" EXACT [CSP2005:2042-7637]', 'synonym: ""Peroneal muscular atrophy"" EXACT [ICD9CM_2006:356.1]']", 
 DOID:3748,"['synonym: ""squamous cell carcinoma of esophagus"" RELATED []', 'synonym: ""squamous cell carcinoma of esophagus"" EXACT []']", 
 DOID:10838,"['name: diabetes mellitus, insulin dependent type with hyperosmolarity, uncontrolled']","['name: obsolete diabetes mellitus, insulin dependent type with hyperosmolarity, uncontrolled']"
 DOID:14492,['name: metastatic neoplasm of ureter'],['name: obsolete metastatic neoplasm of ureter']
 DOID:3459,['is_a: DOID:305 ! carcinoma'], 
 DOID:12634,['name: cerebral actinomycosis'],['name: obsolete cerebral actinomycosis']
 DOID:8639,['name: alcohol withdrawal delirium'],['name: obsolete alcohol withdrawal delirium']
 DOID:0060008, ,"['def: ""A severe combined immunodeficiency that is characterized by severe cell-mediated and antibody-mediated immunodeficiency with recurrent bacterial, viral, and fungal infections, develops_from janus kinase-3 deficiency, and has_material_basis_in autosomal recessive inheritance of mutation in the JAK3 gene of chromosome 19p13.11, responsible for normal differentiation and maturation of B and T immune cells."" [url:https\\://ghr.nlm.nih.gov/condition/jak3-deficient-severe-combined-immunodeficiency#inheritance]']"
 DOID:8807,['name: allergic gastroenteritis and colitis'],['name: obsolete allergic gastroenteritis and colitis']
 DOID:1204,['name: arthropathy due to hypersensitivity reaction'],['name: obsolete arthropathy due to hypersensitivity reaction']
 DOID:2949,['name: Nidovirales infectious disease'],['name: obsolete Nidovirales infectious disease']
 DOID:2099,"[""name: extramammary Paget's disease""]","[""name: obsolete extramammary Paget's disease""]"
 DOID:3067,['name: taste disorder'],['name: obsolete taste disorder']
 DOID:0080360,['xref: OMIM:606501'],['xref: OMIM:616501']
 DOID:0050229,['name: Escherichia coli dysentery'],['name: obsolete Escherichia coli dysentery']
 DOID:6802,['name: relapsed precursor T lymphoblastic lymphoma/leukemia'],['name: obsolete relapsed precursor T lymphoblastic lymphoma/leukemia']
 DOID:12252,"[""name: Cushing's syndrome""]","[""name: obsolete Cushing's syndrome""]"
 DOID:10564,['name: gangosa of yaws'],['name: obsolete gangosa of yaws']
 DOID:3028,['name: intramucosal adenocarcinoma colon adenoma'],['name: obsolete intramucosal adenocarcinoma colon adenoma']
 DOID:0060101,['is_a: DOID:936 ! brain disease'], 
 DOID:1112,['name: neck cancer'],['name: obsolete neck cancer']
 DOID:6273,['name: metastasis to pituitary gland'],['name: obsolete metastasis to pituitary gland']
 DOID:7728,['name: chronic allograft arteriopathy'],['name: obsolete chronic allograft arteriopathy']
 DOID:3739,['name: human papillomavirus related squamous cell carcinoma'],['name: obsolete human papillomavirus related squamous cell carcinoma']
 DOID:2591,['name: nephrotic syndrome with lesion of lobular glomerulonephritis'],['name: obsolete nephrotic syndrome with lesion of lobular glomerulonephritis']
 DOID:1845,['name: Strongylida infectious disease'],['name: obsolete Strongylida infectious disease']
 DOID:0060077,"['def: ""A breast cancer that is characterized by the presence of progesterone receptors."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/25471040]']","['def: ""A breast cancer that is characterized by the presence of progesterone receptors."" [url:https\\://www.cancer.org/cancer/breast-cancer/understanding-a-breast-cancer-diagnosis/breast-cancer-hormone-receptor-status.html, url:https\\://www.ncbi.nlm.nih.gov/pubmed/25471040]']"
 DOID:11810,['name: metastatic neoplasm to the bladder'],['name: obsolete metastatic neoplasm to the bladder']
 DOID:0050119,['name: West Nile virus neurological syndrome'],['name: obsolete West Nile virus neurological syndrome']
 DOID:0050280,['name: superficial ascomycota mycosis'],['name: obsolete superficial ascomycota mycosis']
 DOID:10226,['name: single episode manic disorder'],['name: obsolete single episode manic disorder']
 DOID:8094,['name: cervical condylomatous squamous cell carcinoma'],['name: obsolete cervical condylomatous squamous cell carcinoma']
 DOID:4349,['name: complications occurring mainly in the course of labor and delivery'],['name: obsolete complications occurring mainly in the course of labor and delivery']
 DOID:0080215,['is_a: DOID:2481 ! infantile epileptic encephalopathy'],"['def: ""An early infantile epileptic encephalopathy characterized by seizures with onset before 2 years of age, severe developmental delay, and in some patients hyperekplexia that has_material_basis_in X-linked recessive inheritance of a mutation in the ARHGEF9 gene on chromosome Xq22.1."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/15215304, url:https\\://www.ncbi.nlm.nih.gov/pubmed/21633362]', 'is_a: DOID:0050709 ! early infantile epileptic encephalopathy']"
 DOID:11092,['name: Salmonella gastroenteritis'],['name: obsolete Salmonella gastroenteritis']
 DOID:1466,['name: Salmonella infectious disease'],['name: obsolete Salmonella infectious disease']
 DOID:14063,['name: acute glomerulonephritis with lesion of rapidly progressive glomerulonephritis'],['name: obsolete acute glomerulonephritis with lesion of rapidly progressive glomerulonephritis']
 DOID:7807,['is_a: DOID:6438 ! malignant choroid melanoma'],['is_a: DOID:12759 ! choroid cancer']
 DOID:6109,['name: hepatic and intrahepatic bile duct non-epithelial neoplasm'],['name: obsolete hepatic and intrahepatic bile duct non-epithelial neoplasm']
 DOID:2325,['name: enterovirus meningitis'],['name: obsolete enterovirus meningitis']
 DOID:11091,['name: perinatal respiratory disorder'],['name: obsolete perinatal respiratory disorder']
 DOID:6980,['name: recurrent rectosigmoid cancer'],['name: obsolete recurrent rectosigmoid cancer']
 DOID:1253,['name: Enoplea infectious disease'],['name: obsolete Enoplea infectious disease']
 DOID:13762,['name: bovine trypanosomiasis'],['name: obsolete bovine trypanosomiasis']
 DOID:1516,['name: syphilitic endocarditis'],['name: obsolete syphilitic endocarditis']
 DOID:4944,"['is_a: DOID:3119 ! gastrointestinal system cancer', 'is_a: DOID:299 ! adenocarcinoma']",['is_a: DOID:0080375 ! gastroesophageal adenocarcinoma']
 DOID:6764,['name: peripheral neuroblastoma'],['name: obsolete peripheral neuroblastoma']
 DOID:8973,"[""name: Hodgkin's lymphoma, mixed cellularity, involving lymph nodes of multiple sites""]","[""name: obsolete Hodgkin's lymphoma, mixed cellularity, involving lymph nodes of multiple sites""]"
 DOID:10689,['name: galactorrhea not associated with childbirth'],['name: obsolete galactorrhea not associated with childbirth']
 DOID:6577,['name: ovarian dermoid cyst with sebaceous adenoma'],['name: obsolete ovarian dermoid cyst with sebaceous adenoma']
 DOID:0060474, ,"['is_a: DOID:0050737 ! autosomal recessive disease', 'def: ""A primary polycythemia that has_material_basis_in homozygous or compound heterozygous mutation in the VHL gene (608537) on chromosome 3p25."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/15725900]']"
 DOID:4924,['name: human papillomavirus related adenocarcinoma'],['name: obsolete human papillomavirus related adenocarcinoma']
 DOID:12151,['name: currently pregnant habitual aborter'],['name: obsolete currently pregnant habitual aborter']
 DOID:4026,['name: vitamin E deficiency'],['name: obsolete vitamin E deficiency']
 DOID:6045,['name: AIDS retinopathy'],['name: obsolete AIDS retinopathy']
 DOID:2069,['name: vulvar acquired melanocytic nevus'],['name: obsolete vulvar acquired melanocytic nevus']
 DOID:9764,['name: biliary calculus with cholecystitis'],['name: obsolete biliary calculus with cholecystitis']
 DOID:2726,['name: acne nevus'],['name: obsolete acne nevus']
 DOID:0050217,['name: Sapovirus gastroenteritis'],['name: obsolete Sapovirus gastroenteritis']
 DOID:0050394,['name: nocardial pneumonia'],['name: obsolete nocardial pneumonia']
 DOID:5797,['name: mixed hepatoblastoma with teratoid features'],['name: obsolete mixed hepatoblastoma with teratoid features']
 DOID:1557, ,"['def: ""A hypersensitivity reaction disease that is characterized by the accumulation of antigen-antibody immune complexes, causing an inflammatory response and injury."" [url:https\\://en.wikipedia.org/wiki/Type_III_hypersensitivity]']"
 DOID:1886,['name: Flaviviridae infectious disease'],['name: obsolete Flaviviridae infectious disease']
 DOID:5486,['name: metastatic synovial sarcoma'],['name: obsolete metastatic synovial sarcoma']
